ID,Name,Description,Add,Tel,CoverImage,TagsStr,PriceLevel,AvgPrice,City,Town,ServiceTime,Parking,Payment,Website,GoogleMap,Px,Py,Region,Google_Status,Google_Reviews,Google_Photos,Place_ID,desc_len,V6_2_Description,Category,Tags,Cosine_Score,Confidence_Percent,Refined_Text
C3_382000000A_206139,特香齋西餐廳,坐擁近 40 年歷史「特香齋」不僅是新北市第一家高級西餐廳，更是當地的美食指標。這間由知名糕餅店轉型的高雅餐廳，曾在名流雅仕的見證下擦亮金字招牌，並多次榮獲全國餐飲金牌獎肯定。店內主打頂級海鮮與各式排餐，最引以為傲的是耗資百萬的音響設備與優雅氣氛。在這裡，您可以一邊品嚐窖藏葡萄酒，一邊享受由華氏 1800 度專業高溫烤爐鎖住肉汁的軟嫩牛排，或是皮脆肉嫩的招牌德國豬腳，每一口都是跨越時空的經典美味。,新北市220板橋區中山路一段26號2樓,886-2-29590033,,,$$$,802.0,新北市,板橋區,平日 11:00 - 供餐到13:30，可以坐到16:00； 17:00 - 供餐到20:30，可以坐到22：30 / 假日 11:00 - 20:30可以坐到22:30,請參考周邊路邊停車格或收費停車場,Cash,http://www.tscr.com.tw/,https://www.google.com/maps/search/?api=1&query=%E7%89%B9%E9%A6%99%E9%BD%8B%E8%A5%BF%E9%A4%90%E5%BB%B3%20%E6%96%B0%E5%8C%97%E5%B8%82220%E6%9D%BF%E6%A9%8B%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF%E4%B8%80%E6%AE%B526%E8%99%9F2%E6%A8%93,121.46039,25.00838,North,Active/Open,,,ChIJ2Qlwhx2oQjQRJ5_cYW7kQ5k,,【特香齋西餐廳】。新北市板橋區。特色餐廳。美式西式。精緻高價。主打葡萄酒與牛排，空間呈現文青設計感空間風格，適合家庭聚餐，浪漫約會氛圍。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '浪漫約會氛圍'], 'has_parking': True, 'price_level': '$$$', 'is_late_night': True}",0.6931,65.61,【特香齋西餐廳】。新北市板橋區。特色餐廳。美式西式。精緻高價。主打葡萄酒與牛排，空間呈現文青設計感空間風格，適合家庭聚餐，浪漫約會氛圍。
C3_387000000A_004290,佛羅倫斯義法料理餐廳,是經營超過20年的在地老店，主打充滿歐式風情的溫馨用餐氛圍。女主人曾在義大利學藝，堅持嚴選食材，提供道地義大利麵、燉飯與排餐，特別是鮮味燉飯與手工提拉米蘇深受好評，是東海商圈的熱門約會聚會餐廳。 ,臺中市434龍井區藝術街38巷14號,886-4-26336051,,,$$$,364.0,臺中市,龍井區,"11:30–14:30, 17:00–22:00",請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/firenze888/,https://www.google.com/maps/search/?api=1&query=%E4%BD%9B%E7%BE%85%E5%80%AB%E6%96%AF%E7%BE%A9%E6%B3%95%E6%96%99%E7%90%86%E9%A4%90%E5%BB%B3%20%E8%87%BA%E4%B8%AD%E5%B8%82434%E9%BE%8D%E4%BA%95%E5%8D%80%E8%97%9D%E8%A1%93%E8%A1%9738%E5%B7%B714%E8%99%9F,120.59428,24.18813,Central,Active/Open,834.0,10.0,ChIJibbXhowVaTQRt19a9Kr4CUk,,【佛羅倫斯義法料理餐廳】。臺中市龍井區。特色餐廳。義式料理。精緻高價。主打義大利麵與提拉米蘇，空間呈現浪漫約會風格，適合家庭聚餐，浪漫約會氛圍。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '浪漫約會氛圍'], 'has_parking': True, 'price_level': '$$$', 'is_late_night': True}",0.685,62.84,【佛羅倫斯義法料理餐廳】。臺中市龍井區。特色餐廳。義式料理。精緻高價。主打義大利麵與提拉米蘇，空間呈現浪漫約會風格，適合家庭聚餐，浪漫約會氛圍。
C3_376430000A_001786,賓帥活魚湘菜餐廳,座落在桃園龍潭、鄰近客家文化館的「賓帥活魚湘菜餐廳」，是由擁有 30 多年深厚功力的國宴級主廚掌廚。不同於一般的活魚餐廳，賓帥結合了石門在地「活魚多吃」與道地的「湘菜料理」，以公開透明的價格與細膩的創意手法，將傳統眷村味轉化為一道道令人驚豔的佳餚。不論是少人數的精緻套餐，或是百人的工商聚宴，賓帥都以最真誠的手作溫度，款待每一位遠道而來的饕客。,桃園市325龍潭區中正路三林段616號1樓,886-3-4713375,,,$$,2867.0,桃園市,龍潭區,平日10:30~14:00，16:30~20:30，假日10:00~21:00,請參考周邊路邊停車格或收費停車場,Cash,http://travel.tycg.gov.tw/zh-tw/Consume/Detail/1786,https://www.google.com/maps/search/?api=1&query=%E8%B3%93%E5%B8%A5%E6%B4%BB%E9%AD%9A%E6%B9%98%E8%8F%9C%E9%A4%90%E5%BB%B3%20%E6%A1%83%E5%9C%92%E5%B8%82325%E9%BE%8D%E6%BD%AD%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%B8%89%E6%9E%97%E6%AE%B5616%E8%99%9F1%E6%A8%93,121.23665,24.84409,North,Active/Open,554.0,10.0,ChIJ6fwljpg9aDQR-r5gLxBtWtQ,,【賓帥活魚湘菜餐廳】。桃園市龍潭區。特色餐廳。中式台式。中價位餐廳。主打客家與主廚，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6846,62.69,【賓帥活魚湘菜餐廳】。桃園市龍潭區。特色餐廳。中式台式。中價位餐廳。主打客家與主廚，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
C3_A15010100H_000676,幸福食堂,「幸福食堂 」從提供季節性料理之中餐與晚餐，餐點部分選用當季及在地食材，做出的料理不僅新鮮且有益健康，旅客來到此地可以優閒自在地渡過幸福時光！在山、海、節氣與風土孕育的台灣當令作物，用料理，傳達人們樸實的生活中真情感性的語言。套餐一份250元起，預約制無菜單料理（合菜）一人400元起,臺東縣959東河鄉興昌路74號,886-8-9530440,,,$$,832.0,臺東縣,東河鄉,無,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/happinessdiningroom,https://www.google.com/maps/search/?api=1&query=%E5%B9%B8%E7%A6%8F%E9%A3%9F%E5%A0%82%20%E8%87%BA%E6%9D%B1%E7%B8%A3959%E6%9D%B1%E6%B2%B3%E9%84%89%E8%88%88%E6%98%8C%E8%B7%AF74%E8%99%9F,121.24662,22.89423,East,Active/Open,365.0,10.0,ChIJR9MvSG6ibzQRUbXwMl0nqwE,,【幸福食堂】。臺東縣東河鄉。特色餐廳。中式台式。中價位餐廳。主打季節性與菜單，空間呈現在地庶民風味風格，適合家庭聚餐，浪漫約會氛圍。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '浪漫約會氛圍'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6845,62.67,【幸福食堂】。臺東縣東河鄉。特色餐廳。中式台式。中價位餐廳。主打季節性與菜單，空間呈現在地庶民風味風格，適合家庭聚餐，浪漫約會氛圍。
C3_376430000A_002828,星上星港式飲茶,榮獲 2018 桃園金牌好店 肯定的飲茶名店，以「平民價格、精緻服務」為核心理念，在愜意明亮的用餐空間中，呈獻最正宗的港式滋味。店內主打每日自製蘿蔔糕與各式傳統港點，憑藉著優質的服務與親切氛圍，成功征服無數饕客的「胃」與「心」。在這裡，您可以用最實惠的價格，享受到金牌等級的餐飲體驗，感受點「食」成金的絕妙魅力。,桃園市330桃園區經國路288號,886-3-3568777,,,$$,176.0,桃園市,桃園區,"11:30–14:30, 17:00–21:00",附設停車場第一停車場：經國路288號（店面旁）第二停車場：經國路336巷86號（森料理前空地）,Cash,https://www.facebook.com/startonstart/,https://www.google.com/maps/search/?api=1&query=%E6%98%9F%E4%B8%8A%E6%98%9F%E6%B8%AF%E5%BC%8F%E9%A3%B2%E8%8C%B6%20%E6%A1%83%E5%9C%92%E5%B8%82330%E6%A1%83%E5%9C%92%E5%8D%80%E7%B6%93%E5%9C%8B%E8%B7%AF288%E8%99%9F,121.30326,25.02233,North,Active/Open,,,ChIJbWaK3LUfaDQR7zNlbj8Qnrw,92.0,【星上星港式飲茶】。桃園市桃園區。特色店家。中價位餐廳。主打餐飲與空間，空間呈現家庭聚餐風格，適合家庭聚餐，浪漫約會氛圍。,特色店家,"{'category': '特色店家', 'scenario': ['適合家庭聚餐', '浪漫約會氛圍'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6817,61.67,【星上星港式飲茶】。桃園市桃園區。特色店家。中價位餐廳。主打餐飲與空間，空間呈現家庭聚餐風格，適合家庭聚餐，浪漫約會氛圍。
C3_371020000A_000359,成功鍋貼館,創立於1963年的成功鍋貼，由第一代陳允南老師傅創立，現在已傳到第二代了，店內以香噴噴的蛋汁鍋貼最為超人氣，皮Ｑ餡豐富，起鍋前淋下蛋汁，一口咬下，吃出手工麵皮的層次與彈性，加上熟透的內餡，汁鮮甜入口，雖是燙了舌頭亦是義無反顧地吞下。館內除了招牌鍋貼外，還有許多融合山東口味的大菜，也是食客不可錯過的，鮮嫩味美、份量十足，可謂道道好滋味；真是好吃到沒話說呢！,金門縣金湖鎮成功村99號之4,886-82-333979,,,$$,849.0,金門縣,金湖鎮,11:00 ~ 19:30,請參考周邊路邊停車格或收費停車場,Cash,https://m.facebook.com/%E6%88%90%E5%8A%9F%E9%8D%8B%E8%B2%BC-898277226859643/,https://www.google.com/maps/search/?api=1&query=%E6%88%90%E5%8A%9F%E9%8D%8B%E8%B2%BC%E9%A4%A8%20%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E6%B9%96%E9%8E%AE%E6%88%90%E5%8A%9F%E6%9D%9199%E8%99%9F%E4%B9%8B4,118.39004,24.43944,Islands,Active/Open,1579.0,10.0,ChIJJbaHfX6jFDQRzIT3eSGSi6Q,,【成功鍋貼館】。金門縣金湖鎮。特色餐廳。中價位餐廳。主打味美與食客，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6784,60.5,【成功鍋貼館】。金門縣金湖鎮。特色餐廳。中價位餐廳。主打味美與食客，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
C3_376480000A_000443,鱒龍風格餐館,全新的美食享受，精心研發韓式新口味，更符合台灣民眾的味蕾!,南投縣鹿谷鄉興產路80之10號,886-492753968,,,$$,290.0,南投縣,鹿谷鄉,10:00~20:00,請參考周邊路邊停車格或收費停車場,Cash,https://shitou.okgo.tw/shop/11752.html,https://www.google.com/maps/search/?api=1&query=%E9%BE%8D%E5%B1%B1%E9%A4%90%E9%A4%A8%20%E5%8D%97%E6%8A%95%E7%B8%A3%E9%B9%BF%E8%B0%B7%E9%84%89%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%BA%8C%E6%AE%B5421%E8%99%9F,120.7504998,23.7376577,Central,Active/Open,537.0,10.0,ChIJa0vO88XTbjQRXBdPb33SAFc,,【鱒龍風格餐館】。南投縣鹿谷鄉。特色餐廳。中價位餐廳。主打韓式與味蕾，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6781,60.39,【鱒龍風格餐館】。南投縣鹿谷鄉。特色餐廳。中價位餐廳。主打韓式與味蕾，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
C3_376550000A_000367,銘師父餐廳,「銘師父餐廳」以經典烤鴨（北鴨三吃/四吃）與精緻創意台菜聞名，開業數十年，評價極高且正面，常作為家庭聚餐、公司餐敘首選。其特色包括烤鴨吃法多樣、結合在地食材的「當季料理」，以及優秀的素菜料理，被譽為花蓮必吃在地美食。,花蓮縣吉安鄉太昌村明義6街38巷22號,886-3-8581122,,,$$,361.0,花蓮縣,吉安鄉,週一 - 週日: 11:30 - 14:00 、 17:30 - 21:00,停車場,Cash,https://www.facebook.com/ChefMing/,https://www.google.com/maps/search/?api=1&query=%E9%8A%98%E5%B8%AB%E7%88%B6%E9%A4%90%E5%BB%B3%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E5%90%89%E5%AE%89%E9%84%89%E5%A4%AA%E6%98%8C%E6%9D%91%E6%98%8E%E7%BE%A96%E8%A1%9738%E5%B7%B722%E8%99%9F,121.55815,23.99613,East,Active/Open,1028.0,10.0,ChIJDVdmqZ6faDQRCIO0LUx_cUg,,【銘師父餐廳】。花蓮縣吉安鄉。特色餐廳。中價位餐廳。主打創意與家庭，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.678,60.35,【銘師父餐廳】。花蓮縣吉安鄉。特色餐廳。中價位餐廳。主打創意與家庭，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
C3_376550000A_000227,紐約客牛排館,歡迎您蒞臨紐約客牛排館，在花蓮市區鬧中取靜的環境中，享用我們精心為您準備的精緻美食，我們堅持採用上等牛、羊肉及在地新鮮蔬果，搭配特調醬汁展現出牛排的美味，更以平實的價格嘉惠回報老主顧的愛護，走一趟紐約客，你一定能感受到我們的用心與堅持，紐約客期待您的蒞臨。紐約客牛排館餐點下載:(1) 紐約客牛排系列菜單.pdf (2) 紐約客牛排系列菜單.doc特殊節日菜單到場或來電洽詢(父親節、母親節、情人節、聖誕節、春節)提供專屬兩大停車空間地址:花蓮市林森路122號garminGPS:N23 58.644 E121 35.974電話:03-8360928,花蓮縣花蓮市林森路122號,886-3-8360928,,,$$,,花蓮縣,花蓮市,早上11:00～晚上21:00有下午茶,有兩個停車場,Cash,https://newyorkersteak.com/,https://www.google.com/maps/search/?api=1&query=%E7%B4%90%E7%B4%84%E5%AE%A2%E7%89%9B%E6%8E%92%E9%A4%A8%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E6%9E%97%E6%A3%AE%E8%B7%AF122%E8%99%9F,121.59958,23.9776,East,,,,ChIJbdsTAZafaDQRuHp0f2i5-zA,,【紐約客牛排館】。花蓮縣花蓮市。特色餐廳。美式西式。中價位餐廳。主打菜單與地址，空間呈現在地庶民風味風格，適合家庭聚餐，浪漫約會氛圍。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '浪漫約會氛圍'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6766,59.86,【紐約客牛排館】。花蓮縣花蓮市。特色餐廳。美式西式。中價位餐廳。主打菜單與地址，空間呈現在地庶民風味風格，適合家庭聚餐，浪漫約會氛圍。
C3_376560000A_000381,自強餐廳,該餐廳在澎湖為餐飲界招牌老店之一，並榮獲優良餐飲。做的是澎湖最地道最傳統的風味菜。價錢公道、經濟實惠、菜色符合色、香、味俱全、具有健康概念。自強餐廳是澎湖老牌的海鮮台菜餐廳，也是澎湖地區公務機構宴客喜歡光顧的餐廳，和一般澎湖海鮮餐廳最大的差異在於他們的山珍跟海味一樣美味，點餐可以依據實際人數跟經費請老闆配菜，或自己點菜註明大小盤，一桌價格約2000即可豐富又吃得飽撐。,880 澎湖縣馬公市信義路43號,886-6-9270143；886-6-9270512；886-928-,,,$$,393.0,澎湖縣,馬公市,10:30-13:00;16:30-21:00,請參考周邊路邊停車格或收費停車場,Cash,https://gototravel.tw/penghu-tze-chiang-restaurant/,https://www.google.com/maps/search/?api=1&query=%E8%87%AA%E5%BC%B7%E9%A4%90%E5%BB%B3%20880%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E4%BF%A1%E7%BE%A9%E8%B7%AF43%E8%99%9F,119.56838,23.57237,Islands,Active/Open,,,ChIJzZaC1PFabDQR4L3yOuGO-eM,,【自強餐廳】。澎湖縣馬公市。特色餐廳。中價位餐廳。主打風味菜與海鮮，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6747,59.16,【自強餐廳】。澎湖縣馬公市。特色餐廳。中價位餐廳。主打風味菜與海鮮，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
C3_376500000A_000077,竹林樓,傳承自奮起湖的山野美味，現由第二代於中埔深耕十八年，成為當地名氣最響的指標山產店。店內以阿里山泉水製作的國宴級豆腐最為聞名，其「紅燒豆腐」與「白切雞」是饕客不容錯過的招牌首選。,嘉義縣中埔鄉和美村中山路五段452號,886-5-2301001,,,$$,458.0,嘉義縣,中埔鄉,11:00~21:00,請參考周邊路邊停車格或收費停車場,Cash,https://hoppietw.pixnet.net/blog/posts/10026386207,https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E6%9E%97%E6%A8%93%20%E5%98%89%E7%BE%A9%E7%B8%A3%E4%B8%AD%E5%9F%94%E9%84%89%E5%92%8C%E7%BE%8E%E6%9D%91%E4%B8%AD%E5%B1%B1%E8%B7%AF%E4%BA%94%E6%AE%B5452%E8%99%9F,120.4633,23.45173,South,Active/Open,610.0,10.0,ChIJoZqfm2-UbjQR4bLdgtRZ1BI,,【竹林樓】。嘉義縣中埔鄉。特色店家。中價位餐廳。主打名氣與白切，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色店家,"{'category': '特色店家', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6621,54.54,【竹林樓】。嘉義縣中埔鄉。特色店家。中價位餐廳。主打名氣與白切，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
C3_376550000A_000110,莎莉經典美食餐廳,莎莉經典美食是一家歐式風味的餐廳，以義大利麵為主推餐飲，另備有旗艦級排餐，主廚的廚藝定能使您吮指回味，同時獲得味蕾、嗅感、視覺等三大幸福滿足。莎莉經典美食是位於建國路上的一幢三樓式明亮建築，門口兩棵來自非洲的紅露刺兜樹極為顯眼，每天45度角的陽光從大片的落地櫥窗斜照進來，映照從咖啡杯裡氤氳而起的濃濃咖啡香，在東部的太平洋海岸，您就是在享受『莎莉經典美食所提供的陽光、咖啡、海洋、義大利風』的幸福氛圍。本餐廳一樓可容納30人同時用餐，二樓餐區則可容納66人，亦附有包廂，並提供免費停車場和無線上網服務。本餐廳二樓採光明亮、寬敞舒適，最適合「機關、社團、公司、學校老師和同學舉辦聚餐活動』。我們也提供外燴的服務，我們承辦過開幕酒會；在花蓮，莎莉經典美食的歐式菜餚、西式糕點等各項服務品質，深受各界好評，所以『西式餐會找莎莉，享受美食最道地』，歡迎您多多利用。,花蓮縣花蓮市建國路105號,886-3-8323405,,,$,205.0,花蓮縣,花蓮市,07:30am~09:30pm,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/sSarlees/?locale=zh_TW,https://www.google.com/maps/search/?api=1&query=%E8%8E%8E%E8%8E%89%E7%B6%93%E5%85%B8%E7%BE%8E%E9%A3%9F%E9%A4%90%E5%BB%B3%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%BB%BA%E5%9C%8B%E8%B7%AF105%E8%99%9F,121.6027,23.98349,East,Active/Open,,,ChIJGY5m37ifaDQRY8BWLS0J2_w,,【莎莉經典美食餐廳】。花蓮縣花蓮市。特色餐廳。義式料理。平價實惠。主打義大利麵與義大利風，空間呈現親子友善空間風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$', 'is_late_night': False}",0.6606,53.96,【莎莉經典美食餐廳】。花蓮縣花蓮市。特色餐廳。義式料理。平價實惠。主打義大利麵與義大利風，空間呈現親子友善空間風格，適合家庭聚餐，在地庶民風味。
C3_376600000A_000011,真北平餐廳,創業於民國五十二年的「真北平餐廳」，是嘉義享譽全國的北方佳餚指標。走進裝潢素雅的空間，迎接您的是傳承超過一甲子的職人精神。餐廳早期便以名揚全國的北平烤鴨奠定基石，如今更將經營版圖擴展至經典火鍋與手工餃類**。我們在守護傳統北方風味的同時，不斷注入創意，堅持讓每位賓客都能在優雅的環境中，吃得開心更吃得健康，是老饕造訪嘉義時絕不可錯過的優質首選。,嘉義市東區吳鳳南路405號,886-5-2286659,,,$$$,198.0,嘉義市,東區,,請參考周邊路邊停車格或收費停車場,Cash,http://cpp.taipei/,https://www.google.com/maps/search/?api=1&query=%E7%9C%9F%E5%8C%97%E5%B9%B3%E9%A4%90%E5%BB%B3%20%E5%98%89%E7%BE%A9%E5%B8%82%E6%9D%B1%E5%8D%80%E5%90%B3%E9%B3%B3%E5%8D%97%E8%B7%AF405%E8%99%9F,120.45596,23.46337,South,,,,ChIJz_s4rJ6pQjQR6rNclhlf3JU,,【真北平餐廳】。嘉義市東區。特色餐廳。精緻高價。主打餃類與指標，空間呈現在地庶民風味風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$$', 'is_late_night': False}",0.6604,53.88,【真北平餐廳】。嘉義市東區。特色餐廳。精緻高價。主打餃類與指標，空間呈現在地庶民風味風格，適合家庭聚餐，在地庶民風味。
C3_382000000A_206230,舜德農莊休閒餐廳,位於深坑外環道下、文山路一段的舜德農莊，是一間擁有傳統美味料理、山產的山莊餐廳。擁有上千隻自家養殖的放山雞，以天然穀物、玉米餵食，讓山雞肉質堅實富彈性、甘甜可口，是深坑難得一見的自家放山雞料理。舜德擁有寬敞的戶外座位，燈光極富設計感、給人眼睛一亮的舒適感受，一年四季還可以聞到自然的花鄉由四處飄來；室內座位更有包廂，讓顧客歡唱KTV，無論筵席或一般家庭聚餐桌菜皆適合。一到假日便人潮絡繹不絕，供應的料理有深坑傳統的豆腐料理、山產、時蔬、合菜等，歡迎您蒞臨品嚐。,新北市222深坑區文山路一段62巷35號,"886-2-26648888,886226622952",,,$$,2454.0,新北市,深坑區,週一~週五11:00-14:00－17:00-21:00（供餐時間到20:00)週六~週日11:00-21:00(週二休),請參考周邊路邊停車格或收費停車場,Cash,http://zhundhe.eatingout.com.tw/,https://www.google.com/maps/search/?api=1&query=%E8%88%9C%E5%BE%B7%E8%BE%B2%E8%8E%8A%E4%BC%91%E9%96%92%E9%A4%90%E5%BB%B3%20%E6%96%B0%E5%8C%97%E5%B8%82222%E6%B7%B1%E5%9D%91%E5%8D%80%E6%96%87%E5%B1%B1%E8%B7%AF%E4%B8%80%E6%AE%B562%E5%B7%B735%E8%99%9F,121.62193,25.00072,North,Active/Open,,,ChIJX9tfgitVXTQRGqRf4ZF2-no,230.0,【舜德農莊休閒餐廳】。新北市深坑區。特色餐廳。中式台式。中價位餐廳。主打放山雞與顧客，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。,特色餐廳,"{'category': '特色餐廳', 'scenario': ['適合家庭聚餐', '在地庶民風味'], 'has_parking': True, 'price_level': '$$', 'is_late_night': False}",0.6546,51.73,【舜德農莊休閒餐廳】。新北市深坑區。特色餐廳。中式台式。中價位餐廳。主打放山雞與顧客，空間呈現家庭聚餐風格，適合家庭聚餐，在地庶民風味。
